owner	method	mangled	evidence	source	note
IVP_Contact_Situation	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	Building Block callback RVA 0x42B0, Contact Point material fill RVA 0x24040 and retained material-manager readers prove the 0x58 payload and every public field offset through materials at +0x50.
IVP_Contact_Point_API	*		layout-not-applicable	include/BML/IVP/Listeners.h	This is a stateless source-facing accessor namespace encoded as a class; no instance crosses the DLL boundary and its sizeof is not an engine ABI contract.
IVP_Event_Object	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	Real Object destruction RVA 0x9830 and Core freeze/revive RVAs 0xAF90/0xAEA0 write environment at +0x00 and real_object at +0x04 before retained dispatch.
IVP_Event_Collision	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	Retained caller RVA 0x23CD0 constructs the 0x0C payload as float elapsed time at +0x00, environment at +0x04 and contact situation at +0x08.
IVP_Event_Friction	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	Retained friction creation/deletion paths RVA 0x22180/0x1C230 construct the 0x0C payload with environment, contact situation and friction handle at +0x00/+0x04/+0x08.
IVP_Event_PSI	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	Environment::fire_event_PSI RVA 0x13C40 constructs exactly one environment pointer before invoking PSI listener slot 0.
IVP_Event_Sim	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	Retained controller and event code prove the 0x18 payload: binary64 delta/inverse delta at +0x00/+0x08 and environment/simulation-unit pointers at +0x10/+0x14.
IVP_Collision	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	Mindist Base constructor RVA 0x160E0 writes the delegator at +0x08 and both FVector indices at +0x0C/+0x10 after the IVP_Time_Event prefix, proving the complete 0x14 collision layout.
IVP_Collision	IVP_Collision		host-test	tests/IvpRetailContactLifecycleTest.cpp	Three concrete collision events begin with a null delegator and both fast-vector memberships set to -1 before entering exact-DLL growth.
IVP_Collision	get_fvector_index		host-test	tests/IvpRetailContactLifecycleTest.cpp	Collision membership lookup selects the active or delegated reverse index correctly through compaction and swapping.
IVP_Collision	set_fvector_index		host-test	tests/IvpRetailContactLifecycleTest.cpp	Fast-vector add, tail replacement, removal and swap update only the matching collision index while preserving the other collection backlink.
IVP_U_Set	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	The template adds no storage beyond the retail-confirmed 0x10 IVP_VHash. Phantom constructor RVA 0x10D00 starts the following Active-Set listener vector at +0x10, confirming the base-set boundary.
IVP_U_Set	IVP_U_Set		host-test	tests/IvpRetailContactLifecycleTest.cpp	A four-slot Core identity set is constructed over the exact mandatory-DLL VHash storage and ownership path.
IVP_U_Set	add_element		host-test	tests/IvpRetailContactLifecycleTest.cpp	A Core identity is inserted through the retained VHash add implementation.
IVP_U_Set	find_element		host-test	tests/IvpRetailContactLifecycleTest.cpp	Exact retained lookup distinguishes present, removed and surviving Core identities.
IVP_U_Set	install_element		host-test	tests/IvpRetailContactLifecycleTest.cpp	Installing an existing Core remains idempotent while a second identity is added exactly once.
IVP_U_Set	n_elems		host-test	tests/IvpRetailContactLifecycleTest.cpp	The packed retail VHash count reports two unique identities and one after removal.
IVP_U_Set	remove_element		host-test	tests/IvpRetailContactLifecycleTest.cpp	Removing one Core through the retained collision-safe hash deletion preserves lookup of the other identity.
IVP_U_Set_Active	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	Phantom constructor RVA 0x10D00 allocates 0x18-byte Active Sets, constructs IVP_VHash at +0x00 and the listener IVP_U_Vector at +0x10, proving the complete layout.
IVP_U_Set_Active	IVP_U_Set_Active		host-test	tests/IvpRetailContactLifecycleTest.cpp	A forcefield-style active Core set constructs the exact retail VHash prefix and its listener vector.
IVP_U_Set_Active	add_listener_set_active		host-test	tests/IvpRetailContactLifecycleTest.cpp	A listener is registered in the +0x10 vector before membership changes.
IVP_U_Set_Active	add_element		host-test	tests/IvpRetailContactLifecycleTest.cpp	Core insertion through the exact VHash emits one ordered added notification.
IVP_U_Set_Active	install_element		host-test	tests/IvpRetailContactLifecycleTest.cpp	Duplicate installation emits no notification, while a new Core produces exactly one.
IVP_U_Set_Active	remove_element		host-test	tests/IvpRetailContactLifecycleTest.cpp	Removing a Core updates retained hash membership before emitting the removal callback.
IVP_U_Set_Active	~IVP_U_Set_Active		host-test	tests/IvpRetailContactLifecycleTest.cpp	Scope destruction notifies the still-live listener once before the exact retail VHash prefix is released.
IVP_U_FVector	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	The fast-vector template adds no storage beyond the retail-confirmed 0x08 IVP_U_Vector_Base; its growth enters retained RVA 0xB600 with the same this pointer.
IVP_U_FVector	IVP_U_FVector		host-test	tests/IvpRetailContactLifecycleTest.cpp	Two one-slot friction/mindist membership vectors are constructed through the retail allocator and independently grown.
IVP_U_FVector	add		host-test	tests/IvpRetailContactLifecycleTest.cpp	Collision-style entries join two simultaneous vectors and populate separate reverse-index slots while one list grows 1 to 3 through the exact DLL.
IVP_U_FVector	index_of		host-test	tests/IvpRetailContactLifecycleTest.cpp	Lookup selects the reverse index belonging to the queried vector before and after compaction and reordering.
IVP_U_FVector	remove_allow_resort		host-test	tests/IvpRetailContactLifecycleTest.cpp	Removing the middle active mindist moves the tail entry, repairs its reverse index, clears only the removed membership and preserves the second-vector membership.
IVP_U_FVector	swap_elems		host-test	tests/IvpRetailContactLifecycleTest.cpp	Reordering the delegated list swaps identities and repairs the correct second reverse-index slot for both entries.
IVP_U_FVector	element_at		host-test	tests/IvpRetailContactLifecycleTest.cpp	Element access verifies the exact identities occupying compacted and swapped collision-list positions.
