class	field	comparison	classification	source	note
IVP_Anomaly_Limits	max_collision_checks_per_psi	missing	retail-field-absent	physics_RT.dll RVA 0x2F5E0; canonical IDB IVP_Anomaly_Limits	The retained constructor and 0x14 Ballance layout end at max_angular_velocity_per_psi; the later collision-check field has no storage.
IVP_Anomaly_Limits	max_friction_mass	missing	retail-field-absent	physics_RT.dll RVA 0x2F5E0; canonical IDB IVP_Anomaly_Limits	The retained constructor and 0x14 Ballance layout contain neither later friction-mass limit.
IVP_Anomaly_Limits	min_friction_mass	missing	retail-field-absent	physics_RT.dll RVA 0x2F5E0; canonical IDB IVP_Anomaly_Limits	The retained constructor and 0x14 Ballance layout contain neither later friction-mass limit.
IVP_CarSystemDebugData_t	backActuatorLeft	missing	retail-field-absent	canonical IDB IVP_CarSystemDebugData_t and IVP_Controller_Raycast_Car	Ballance's embedded debug block ends at 0x308 and the containing controller ends at 0x958, leaving no storage for the four later vectors.
IVP_CarSystemDebugData_t	backActuatorRight	missing	retail-field-absent	canonical IDB IVP_CarSystemDebugData_t and IVP_Controller_Raycast_Car	Ballance's embedded debug block ends at 0x308 and the containing controller ends at 0x958, leaving no storage for the four later vectors.
IVP_CarSystemDebugData_t	frontActuatorLeft	missing	retail-field-absent	canonical IDB IVP_CarSystemDebugData_t and IVP_Controller_Raycast_Car	Ballance's embedded debug block ends at 0x308 and the containing controller ends at 0x958, leaving no storage for the four later vectors.
IVP_CarSystemDebugData_t	frontActuatorRight	missing	retail-field-absent	canonical IDB IVP_CarSystemDebugData_t and IVP_Controller_Raycast_Car	Ballance's embedded debug block ends at 0x308 and the containing controller ends at 0x958, leaving no storage for the four later vectors.
IVP_Constraint	client_data	missing	retail-field-absent	physics_RT.dll RVA 0x375B0 and 0x37650; retail constraint vtable	The Ballance base ends at 0x18 and IVP_Constraint_Local begins its derived fields there; adding the later client pointer would shift the retained ABI.
IVP_Controller_Phantom	client_data	missing	retail-field-absent	physics_RT.dll RVA 0x10D00 and 0x108A0	convert_to_phantom allocates 0x40 and the retained constructor/destructor consume the object through +0x38; the later +0x40 pointer is absent.
IVP_Core_Fast_PSI	movement_state	type-difference	compiler-safe-storage-variant	physics_RT.dll retained Core field accesses; MSVC x86 layout assertions	Ballance stores the public 8-bit movement value at +0x60. Modern MSVC cannot co-pack mixed IVP_Movement_Type and IVP_BOOL enum bit-fields like VC6, so uint8_t preserves every later offset.
IVP_Core_Fast_PSI	temporarily_unmovable	type-difference	compiler-safe-storage-variant	physics_RT.dll retained Core field accesses; MSVC x86 layout assertions	Ballance stores the public 8-bit flag at +0x61. Modern MSVC enum bit-field allocation would expand it and move the complete Core tail, so uint8_t is required at the DLL boundary.
IVP_Real_Object_Fast	flags	type-difference	retail-compatible-storage-view	physics_RT.dll object flag accesses; exact-DLL listener and transform tests	The named 4-byte view preserves Ballance's +0x80 storage and restores every nested public bit-field name using one unsigned allocation unit; raw remains an exact alias for retained masks.
IVP_Template_Phantom	manage_sleeping_cores	missing	retail-field-absent	physics_RT.dll RVA 0x10880; canonical IDB IVP_Template_Phantom	The retained constructor and complete 0x14 template end at exit_policy_extra_time; the later sleeping-core flag has no storage.
IVP_Template_Real_Object	pinned	missing	retail-field-absent	physics_RT.dll RVA 0x15EF0 and 0x9787	The retained 0x70 constructor and independent +0x10 access identify enable_piling_optimization; material remains at +0x14, proving no intervening pinned field.
IVP_Template_Spring	spring_force_only_on_stretch	missing	retail-field-absent	physics_RT.dll RVA 0x14200; exact-DLL Spring simulation	The retained constructor clears exactly 0x38 bytes and the simulation has no only-stretch branch; adding the later flag would shift every spring coefficient.
